Track Name,Artist Name(s),Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
when the party's over,Billie Eilish,0.498,0.104,1,-14.08,0.0621,0.979,0.0000786,0.0895,0.205,124.001
What If I,KAIS,0.466,0.573,7,-8.496,0.034,0.347,0.633,0.38,0.057,117.612
Mystery,Jeris,0.371,0.437,0,-9.638,0.0428,0.263,0.0000878,0.0776,0.108,125.937
BLUE,"Troye Sivan,Alex Hope",0.39,0.536,6,-7.536,0.0384,0.593,0,0.115,0.212,129.997
COULD'VE HAD IT ALL,CRÈME,0.53,0.605,0,-8.79,0.0931,0.0572,0.0000561,0.248,0.217,163.491
Dancing On My Own,Calum Scott,0.671,0.183,1,-8.649,0.0325,0.821,0.0000393,0.0969,0.208,112.678
Right Here! Right Now!,NICK PROSPER,0.479,0.451,1,-14.39,0.0303,0.118,0.0738,0.184,0.095,171.926
WAIT!,"YNG Martyr,Logan M",0.696,0.738,9,-4.656,0.042,0.171,0,0.121,0.361,92.062
Lose My Mind - Acoustic,Dean Lewis,0.514,0.216,8,-10.754,0.0519,0.944,0.00000118,0.0939,0.195,101.294
Annmar (Recomposed),MB Project,0.657,0.635,0,-10.006,0.0294,0.0176,0.632,0.0893,0.552,87.017
Who you are,Avi,0.439,0.445,9,-11.029,0.0799,0.577,0.00296,0.148,0.347,133.146
Femme Fatale,Colin Munroe,0.685,0.586,9,-8.309,0.027,0.731,0.0342,0.137,0.779,99.989
The Voyager,Avenza,0.486,0.614,0,-8.045,0.0336,0.12,0.691,0.0956,0.184,90.054
if i were funnier,eli.,0.35,0.242,4,-11.885,0.0386,0.866,0,0.112,0.439,159.35
come out and play,Billie Eilish,0.64,0.321,0,-14.604,0.0931,0.693,0.0307,0.114,0.177,145.045
Waves,Dean Lewis,0.518,0.729,11,-7.193,0.0452,0.183,0,0.0643,0.343,156.879
Come Back,Tora Woloshin,0.494,0.585,0,-6.062,0.0331,0.515,0,0.11,0.222,138.05
Got You On My Mind,NF,0.607,0.558,8,-7.319,0.0407,0.202,0,0.155,0.336,130.007
I Lost a Friend,FINNEAS,0.453,0.208,11,-11.917,0.22,0.585,0,0.119,0.218,169.326
Get High And Say We're Sorry,SCAMP,0.619,0.493,8,-6.908,0.0299,0.197,0,0.084,0.597,89.968
object of my obsession,eli.,0.774,0.548,1,-8.751,0.209,0.24,0,0.125,0.193,119.858
Happier,Ed Sheeran,0.522,0.385,0,-7.355,0.0288,0.536,0,0.135,0.236,89.792
"i hate u, i love u (feat. olivia o'brien)","gnash,Olivia O'Brien",0.492,0.275,6,-13.4,0.3,0.687,0,0.101,0.18,92.6
I Remember,"DAP The Contract,Chandler Elyse",0.604,0.401,5,-8.931,0.0367,0.189,0.036,0.121,0.0903,148.018
Let Her Go,Passenger,0.479,0.545,7,-7.346,0.0688,0.365,0,0.0963,0.244,74.897
Sad,Maroon 5,0.572,0.258,7,-9.213,0.0348,0.787,0,0.0973,0.324,111.91
Straight Back Down,Dean Lewis,0.664,0.627,5,-7.114,0.0422,0.292,0,0.062,0.461,114.898
Marlboro,"Prince of Falls,Foreign Heat",0.777,0.311,9,-12.205,0.102,0.0505,0.000062,0.0847,0.221,133.985
watch,Billie Eilish,0.441,0.599,0,-8.985,0.225,0.333,0.00198,0.103,0.35,165.212
You're Special,NF,0.676,0.304,5,-10.649,0.0634,0.209,0.00000994,0.103,0.0421,119.895
Walk Away,"SouMix,Josiah Nichols",0.73,0.43,0,-6.901,0.0394,0.334,0.0226,0.145,0.251,75.034
Need You Now - Acoustic,Dean Lewis,0.601,0.317,10,-8.945,0.0497,0.911,0,0.181,0.381,137.95
Lost Boy,Ruth B.,0.71,0.0565,7,-15.099,0.0534,0.965,0,0.0889,0.348,123.994
throat goat,lilbubblegum,0.713,0.431,2,-11.61,0.41,0.511,0.00079,0.149,0.19,139.989
Chemicals - Acoustic,Dean Lewis,0.446,0.239,6,-11.092,0.0435,0.942,0.0000416,0.11,0.575,75.54
Leaving My Love Behind,Lewis Capaldi,0.409,0.446,2,-4.836,0.0317,0.65,0,0.0862,0.135,75.638
Lie,NF,0.513,0.661,5,-6.419,0.24,0.161,0,0.246,0.179,94.791
Overthinking,YNG Martyr,0.673,0.649,9,-4.824,0.108,0.219,0,0.143,0.459,167.963
Maybe Tomorrow,"Colacoaster,Lila Royer",0.78,0.597,1,-6.751,0.0526,0.102,0.0937,0.121,0.77,104.988
Supermarket Flowers,Ed Sheeran,0.589,0.242,6,-10.517,0.0442,0.914,0,0.0887,0.257,89.749
Enough Now,Susy Thomas,0.469,0.564,0,-9.893,0.0335,0.198,0.000422,0.194,0.752,80.439
Call Out My Name,The Weeknd,0.489,0.598,1,-4.929,0.036,0.218,0,0.35,0.172,134.045
idontwannabeyouanymore,Billie Eilish,0.483,0.412,7,-8.461,0.0402,0.737,0,0.116,0.247,170.163
Nothing Else,"Auram,Kyross",0.465,0.467,6,-11.807,0.0452,0.247,0.315,0.241,0.159,75.072
For The Last Time,Dean Lewis,0.443,0.388,9,-9.945,0.0372,0.771,0.0000408,0.0914,0.195,89.947
BOTTLE GIRLS,"Hd4president,Ku$h Drifter",0.738,0.873,9,-7.782,0.102,0.365,0.00022,0.0552,0.543,164.966
Adore,Dean Lewis,0.479,0.486,9,-6.066,0.0388,0.67,0,0.149,0.302,68.889
Memories,Maroon 5,0.764,0.32,11,-7.209,0.0546,0.837,0,0.0822,0.575,91.019
REYN,Reyn Hartley,0.669,0.333,2,-11.686,0.153,0.3,0.0000481,0.097,0.108,141.169
If You Want Love,NF,0.551,0.386,0,-10.22,0.132,0.659,0,0.125,0.245,116.409
Valley of my dreams,Per Sonic,0.552,0.392,8,-12.663,0.0288,0.686,0.00662,0.111,0.23,129.878
Prisoner,"The Weeknd,Lana Del Rey",0.551,0.405,0,-12.756,0.0398,0.443,0.000217,0.11,0.341,135.017
WHAT DAY IS IT?,Cezur III,0.556,0.582,11,-6.505,0.085,0.307,0,0.0908,0.764,80.03
Headspace,Lewis Capaldi,0.368,0.228,11,-9.183,0.0335,0.865,0.00000199,0.111,0.194,146.881
i love you,Billie Eilish,0.421,0.131,0,-18.435,0.0382,0.952,0.00453,0.109,0.12,137.446
Gunsmoke,"Lil Toe,AMMO",0.607,0.561,9,-7.662,0.0492,0.0131,0.341,0.285,0.473,166.003
Like This,NF,0.685,0.563,3,-5.456,0.0714,0.323,0,0.111,0.3,85.501
Giselle,bedroom dj,0.617,0.474,5,-8.363,0.0303,0.0238,0.0102,0.397,0.549,119.958
How Could You Leave Us,NF,0.536,0.708,6,-7.882,0.758,0.513,0,0.0951,0.09,78.33
everything i wanted,Billie Eilish,0.704,0.225,6,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006
Half A Man,Dean Lewis,0.507,0.204,0,-11.575,0.0504,0.855,0,0.143,0.343,77.765
Mercy - Acoustic,Shawn Mendes,0.458,0.347,11,-6.651,0.0381,0.712,0,0.11,0.431,78.928
Six Feet Under,Billie Eilish,0.576,0.307,11,-12.732,0.0428,0.807,0.000355,0.0792,0.157,67.513
December,Tarz,0.478,0.62,2,-6.801,0.036,0.000382,0.834,0.095,0.0377,174.053
SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,0.0261,0.544,0.00598,0.191,0.284,88.964
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,0.0232,0.163,0,0.106,0.168,95.05
Fire On Fire - From Watership Down,Sam Smith,0.584,0.407,1,-7.356,0.046,0.476,0,0.18,0.341,115.124
ocean eyes,Billie Eilish,0.511,0.363,4,-7.65,0.041,0.816,0.0317,0.084,0.169,144.892
Journey,Dead as Disco,0.455,0.505,9,-6.838,0.0276,0.0377,0.452,0.296,0.056,87.972
Hold Me While You Wait,Lewis Capaldi,0.688,0.53,11,-5.507,0.0333,0.443,0,0.0995,0.162,106.958
Stay Awake - Acoustic,Dean Lewis,0.596,0.238,2,-9.381,0.0471,0.898,0.0000511,0.19,0.304,93.847
Retribution,"DJ Paul,PHONK WALKER,Ku$h Drifter",0.748,0.52,0,-11.082,0.317,0.0285,0.927,0.093,0.159,150.438
7 Minutes,Dean Lewis,0.613,0.739,10,-6.478,0.0311,0.526,0,0.149,0.712,104.966
Wake Me Up,Ed Sheeran,0.616,0.209,9,-13.43,0.406,0.902,0,0.139,0.336,86.891
Hold Of Me,Dean Lewis,0.596,0.659,5,-7.856,0.0606,0.0742,0,0.123,0.418,142.976
Forever,Lewis Capaldi,0.646,0.355,1,-7.119,0.0263,0.873,0,0.115,0.364,84.988
I Fall Apart,Post Malone,0.556,0.538,8,-5.408,0.0382,0.0689,0,0.196,0.291,143.95
Trauma,NF,0.527,0.0861,5,-15.326,0.0301,0.92,0.000334,0.0988,0.225,103.582
Dancing With Your Ghost,Sasha Alex Sloan,0.629,0.328,11,-8.284,0.029,0.768,0.000025,0.103,0.389,74.953
Shallow,"Lady Gaga,Bradley Cooper",0.572,0.385,7,-6.362,0.0308,0.371,0,0.231,0.323,95.799
A Place We Knew,Dean Lewis,0.585,0.653,11,-7.439,0.0562,0.291,0,0.151,0.554,83.341
you were good to me,"Jeremy Zucker,Chelsea Cutler",0.561,0.0848,2,-15.099,0.0404,0.913,0.0000262,0.112,0.206,102.128
Paralyzed,NF,0.51,0.643,0,-6.602,0.0485,0.214,0.00000322,0.101,0.0397,130.081
lovely (with Khalid),"Billie Eilish,Khalid",0.351,0.296,4,-10.109,0.0333,0.934,0,0.095,0.12,115.284
Time To Go,Dean Lewis,0.482,0.645,8,-7.959,0.0556,0.434,0,0.0996,0.457,104.854
Start Again,Conrad Sewell,0.553,0.343,10,-9.466,0.0407,0.68,0.0000035,0.122,0.216,66.543
scared,Jeremy Zucker,0.583,0.075,5,-15.843,0.0726,0.933,0.0000014,0.111,0.347,108.418
In My Head,Peter Manos,0.499,0.181,9,-15.359,0.0429,0.745,0.00123,0.106,0.0747,111.956
If the World Was Ending (feat. Julia Michaels),"JP Saxe,Julia Michaels",0.464,0.473,1,-10.086,0.129,0.866,0,0.109,0.604,75.801
Wasted,MKTO,0.313,0.429,6,-7.415,0.0343,0.787,0,0.0863,0.416,77.27
