Track Name,Artist Name(s),Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Wish You Were Here,Jason Paul,0.618,0.242,1,-15.083,0.212,0.838,0,0.103,0.328,91.915
Give Me The Moon,Siena Bella,0.713,0.113,1,-17.881,0.0453,0.904,0.0000315,0.187,0.112,123.944
Battlewounds,"XOG0lden,we$",0.731,0.388,9,-8.281,0.0634,0.129,0.00000166,0.123,0.132,144.044
LA Thrills,XOG0lden,0.726,0.5,4,-10.402,0.0622,0.356,0,0.113,0.44,132.043
On The Roof,Harpool,0.723,0.72,10,-12.782,0.0398,0.901,0.881,0.067,0.964,97.016
Imagination,K.B.Pablo,0.537,0.227,2,-13.978,0.0453,0.928,0.0929,0.101,0.195,84.636
in case you don't pick up the phone,Oh well.,0.579,0.416,5,-9.841,0.0494,0.261,0,0.148,0.18,84.987
Bad Habit,Steve Lacy,0.686,0.494,1,-7.093,0.0355,0.613,0.000058,0.402,0.7,168.946
Dark Red,Steve Lacy,0.603,0.783,6,-4.023,0.062,0.449,0.00000796,0.119,0.775,172.041
TBH,PARTYNEXTDOOR,0.543,0.681,1,-7.876,0.0477,0.159,0.00000149,0.298,0.154,124.926
THE NEWS,PARTYNEXTDOOR,0.74,0.465,7,-8.27,0.0412,0.306,0.00371,0.101,0.275,116.741
Circles,Post Malone,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042
School Rooftop,"Hisohkah,WMD",0.85,0.28,1,-8.77,0.23,0.0931,0.606,0.0867,0.28,82.872
School Rooftop (Intro) [Slowed Down Version],"Hisohkah,WMD",0.138,0.00312,6,-38.986,0.0385,0.992,0.939,0.101,0.0498,141.904
Glimpse of Us,Joji,0.44,0.317,8,-9.258,0.0531,0.891,0.00000478,0.141,0.268,169.914
hellboy,Lil Peep,0.598,0.683,4,-6.588,0.054,0.0152,0,0.319,0.122,135.982
Can I Call You Tonight?,Dayglow,0.641,0.842,9,-7.27,0.0292,0.132,0.91,0.419,0.5,129.98
Nothing Lasts,Bedroom,0.507,0.666,10,-8.362,0.029,0.0116,0.343,0.129,0.185,77.979
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator,Frank Ocean,Steve Lacy",0.48,0.61,0,-7.042,0.305,0.0456,0,0.313,0.297,90.034
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator,Rex Orange County,Anna of the North",0.559,0.578,8,-9.54,0.151,0.79,0.000522,0.324,0.239,79.938
Garden Shed (feat. Estelle),"Tyler, The Creator,Estelle",0.423,0.456,2,-8.45,0.0579,0.381,0.016,0.12,0.148,112.984
Blondie,Current Joys,0.776,0.626,6,-12.561,0.0396,0.622,0.899,0.086,0.866,122.072
Sleep Apnea,Beach Fossils,0.553,0.685,2,-10.624,0.0266,0.145,0.859,0.138,0.491,79.998
Star Shopping,Lil Peep,0.585,0.471,4,-9.934,0.0616,0.0967,0.0184,0.115,0.323,93.099
Come Back to Earth,Mac Miller,0.272,0.238,2,-12.148,0.0349,0.89,0.00925,0.275,0.119,83.507
Self Care,Mac Miller,0.52,0.538,1,-8.109,0.206,0.367,0.00187,0.119,0.177,141.894
Wings,Mac Miller,0.656,0.33,8,-8.771,0.162,0.818,0.00386,0.107,0.349,119.057
Money,The Drums,0.603,0.918,4,-6.652,0.0641,0.216,0.146,0.284,0.452,102.473
I Don't Know How To Love,The Drums,0.411,0.89,11,-6.062,0.0436,0.0617,0.127,0.227,0.0669,169.97
Next to You,Alicks,0.746,0.0609,9,-13.803,0.0661,0.628,0.951,0.152,0.385,124.012
Help Me Out,Alicks,0.374,0.168,4,-12.878,0.042,0.786,0.949,0.108,0.109,155.946
In This Darkness (sped up) - Remix,Xanemusic,0.501,0.334,7,-14.955,0.0847,0.806,0.191,0.113,0.265,96.231
Affection,Jinsang,0.698,0.193,1,-15.01,0.0902,0.914,0.937,0.0882,0.607,84.03
Bliss,Jinsang,0.588,0.352,6,-13.197,0.0546,0.566,0.924,0.111,0.581,170.71
Notion,The Rare Occasions,0.309,0.883,9,-3.825,0.0808,0.0673,0.00111,0.0849,0.312,159.488
Brokendate,Com Truise,0.526,0.544,11,-7.137,0.169,0.258,0.64,0.377,0.544,170.37
Not In Love - Radio Version,"Crystal Castles,Robert Smith",0.477,0.98,7,-4.204,0.0887,0.000834,0.00963,0.357,0.199,135.902
Gravel,BONES,0.644,0.375,1,-10.201,0.0275,0.416,0.112,0.116,0.0399,105.042
witchblades,"Lil Peep,Lil Tracy",0.642,0.538,8,-7.206,0.0696,0.0242,0,0.273,0.57,143.921
Teen Pregnancy,Blank Banshee,0.75,0.984,7,-4.933,0.078,0.295,0.373,0.163,0.767,111.002
Eternal Youth,RŮDE,0.655,0.487,6,-7.988,0.033,0.0347,0.897,0.271,0.0454,139.914
girl,salvia palth,0.551,0.695,0,-9.444,0.0336,0.299,0.82,0.108,0.15,100.233
i was all over her,salvia palth,0.529,0.353,7,-12.835,0.0292,0.788,0.853,0.116,0.0601,104.557
(dream),salvia palth,0.328,0.301,0,-13.283,0.0366,0.926,0.825,0.118,0.167,147.398
505,Arctic Monkeys,0.526,0.866,0,-5.822,0.0568,0.00287,0.0000778,0.0945,0.248,140.266
Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
Afraid,The Neighbourhood,0.464,0.701,6,-5.693,0.0411,0.00892,0.309,0.335,0.356,83.996
Ode to Viceroy,Mac DeMarco,0.514,0.632,2,-6.305,0.0501,0.208,0.0132,0.115,0.31,94.569
Freaking Out the Neighborhood,Mac DeMarco,0.565,0.832,8,-5.751,0.108,0.0639,0.0291,0.386,0.847,143.302
My Kind of Woman,Mac DeMarco,0.501,0.765,6,-7.063,0.0281,0.00294,0.49,0.184,0.46,91.769
On The Level,Mac DeMarco,0.573,0.473,8,-10.839,0.0268,0.0944,0.397,0.199,0.515,77.494
For The First Time,Mac DeMarco,0.551,0.529,5,-10.469,0.0517,0.299,0.00674,0.178,0.522,75.515
Still Beating,Mac DeMarco,0.709,0.496,1,-10.528,0.0417,0.581,0.195,0.151,0.469,78.477
Moonlight On The River,Mac DeMarco,0.662,0.478,9,-8.631,0.0453,0.252,0.833,0.216,0.43,139.981
Watching Him Fade Away,Mac DeMarco,0.74,0.072,3,-17.984,0.0713,0.981,0.00698,0.111,0.297,139.081
A Heart Like Hers,Mac DeMarco,0.56,0.381,1,-8.503,0.0291,0.799,0.000142,0.125,0.558,147.431
Nikes,Frank Ocean,0.633,0.395,8,-9.638,0.0857,0.692,0.000222,0.108,0.123,138.023
Nights,Frank Ocean,0.457,0.551,5,-9.36,0.167,0.427,0.00000115,0.113,0.428,89.87
Ivy,Frank Ocean,0.575,0.386,9,-9.584,0.037,0.785,0.000289,0.229,0.466,116.408
Self Control,Frank Ocean,0.581,0.21,8,-10.426,0.0321,0.768,0,0.369,0.452,80.099
Seigfried,Frank Ocean,0.377,0.253,4,-11.155,0.0387,0.975,0.000259,0.101,0.367,125.403
White Ferrari,Frank Ocean,0.501,0.0958,0,-15.605,0.0433,0.77,0,0.298,0.204,108.741
controlla,Idealism,0.788,0.446,6,-9.812,0.0693,0.54,0.694,0.273,0.545,80.033
Lover Is a Day,Cuco,0.398,0.646,3,-10.457,0.0412,0.0454,0.206,0.101,0.353,179.853
Cupid's Quiver,Cuco,0.565,0.346,0,-14.173,0.0295,0.62,0.816,0.0991,0.28,119.974
im closing my eyes (feat. shiloh),potsu,0.895,0.109,0,-13.853,0.0996,0.534,0.549,0.106,0.546,134.067
Someone Like You,Mac Miller,0.628,0.598,2,-5.483,0.119,0.0451,0.00000329,0.119,0.0603,135.047
Objects in the Mirror,Mac Miller,0.645,0.658,1,-6.625,0.0532,0.623,0.0000202,0.107,0.19,77.021
Resonance,Home,0.567,0.743,8,-8.614,0.0626,0.0356,0.847,0.221,0.423,170.083
nikes,SLIGHT,0.867,0.263,0,-10.892,0.181,0.408,0.937,0.111,0.359,80.045
viola,eevee,0.645,0.114,9,-15.768,0.356,0.967,0.831,0.112,0.191,78.015
Baby Blue,King Krule,0.468,0.331,3,-11.052,0.036,0.613,0.00108,0.129,0.09,102.448
Easy Easy,King Krule,0.563,0.408,4,-8.972,0.0365,0.838,0.0000104,0.108,0.234,146.908
calles feat. tuamie,Wun Two,0.799,0.352,6,-9.943,0.159,0.844,0.903,0.115,0.435,83.564
I wonder if we're dead,eevee,0.424,0.267,1,-17.193,0.0726,0.787,0.954,0.149,0.259,61.972
Kill Yourself (Part III),$uicideboy$,0.753,0.679,5,-7.092,0.0349,0.324,0.0000421,0.423,0.19,105.977
Jocelyn Flores,XXXTENTACION,0.872,0.391,0,-9.144,0.242,0.469,0.00000413,0.297,0.437,134.021
Everybody Dies In Their Nightmares,XXXTENTACION,0.734,0.57,7,-7.066,0.133,0.847,0.0000214,0.112,0.689,129.953
Fuck Love (feat. Trippie Redd),"XXXTENTACION,Trippie Redd",0.797,0.533,0,-9.74,0.0412,0.0172,0.000152,0.103,0.329,131.036
Depression & Obsession,XXXTENTACION,0.769,0.156,11,-10.7,0.035,0.585,0.015,0.102,0.527,105.95
Revenge,XXXTENTACION,0.746,0.251,11,-16.169,0.259,0.782,0.00203,0.106,0.18,139.999
Solo,Future,0.784,0.486,5,-6.497,0.0475,0.0538,0.497,0.101,0.0894,110.964
I'm Not the Boy I Used to Be,Jye,0.585,0.185,4,-14.223,0.034,0.912,0.00303,0.234,0.0483,118.899
PRBLMS,6LACK,0.488,0.589,9,-4.683,0.138,0.0327,0.00000185,0.18,0.127,101.984
Ex Calling,6LACK,0.773,0.564,1,-7.241,0.249,0.00561,0.0000199,0.213,0.0588,155.976
Dark Light,Night Lovell,0.625,0.45,9,-9.985,0.0311,0.0776,0.000217,0.117,0.0362,92.974
girls,"Lil Peep,Horsehead",0.644,0.697,0,-6.069,0.0542,0.56,0,0.111,0.244,120.044
Romeo & Juliet,Trippie Redd,0.609,0.37,0,-13.933,0.0712,0.664,0.086,0.328,0.352,119.806
lavender blood,Fox Academy,0.356,0.162,1,-16.848,0.0372,0.986,0.0337,0.11,0.205,83.283
Get With U,Clairo,0.747,0.0676,7,-14.215,0.0441,0.895,0.258,0.11,0.298,65.003
Pretty Girl,Clairo,0.921,0.432,0,-11.109,0.0502,0.506,0.00223,0.0617,0.693,112.117
Ginseng Strip 2002,Yung Lean,0.601,0.712,1,-9.433,0.0431,0.0848,0,0.479,0.386,114.998
Hurt,Yung Lean,0.813,0.445,10,-10.194,0.117,0.637,0.0000185,0.0873,0.194,126.009
Benz Truck (гелик),Lil Peep,0.602,0.762,2,-6.149,0.0347,0.0498,0.00819,0.121,0.113,92.02
Problems,Lil Peep,0.64,0.558,1,-7.078,0.027,0.000144,0.865,0.103,0.208,115.007
The Brightside,Lil Peep,0.646,0.641,3,-6.522,0.0425,0.0353,0,0.108,0.881,134.027
Awful Things,"Lil Peep,Lil Tracy",0.366,0.797,1,-4.923,0.0812,0.0157,0,0.0694,0.181,169.986
Save That Shit,Lil Peep,0.534,0.583,2,-8.672,0.0288,0.0262,0,0.421,0.145,106
Memento Mori,Crywank,0.434,0.519,11,-12.584,0.0585,0.929,0.00106,0.123,0.34,141.423
Quiet,Jinsang,0.744,0.291,6,-11.359,0.12,0.22,0.766,0.111,0.611,169.777
Betrayal,Jinsang,0.419,0.53,2,-11.623,0.347,0.486,0.751,0.229,0.503,84.357
Reminisce.,Jinsang,0.688,0.302,9,-16.802,0.352,0.91,0.871,0.103,0.835,139.525
Elevated.,Jinsang,0.535,0.569,1,-12.043,0.304,0.226,0.328,0.0755,0.311,78.307
Lake.Serene,Altitude.,0.665,0.259,2,-12.283,0.068,0.966,0.937,0.106,0.243,75.968
Trains,Altitude.,0.669,0.426,3,-8.129,0.222,0.396,0.0429,0.0884,0.424,120.193
Summer Whisper,Tomppabeats,0.738,0.322,5,-11.852,0.288,0.981,0.679,0.112,0.78,77.999
Will You Stay Here with Me,Tomppabeats,0.775,0.345,1,-9.911,0.372,0.591,0.409,0.105,0.872,81.046
Jungle,Drake,0.69,0.235,7,-8.651,0.0541,0.618,0.000144,0.107,0.378,99.906
Wednesday Night Interlude,"Drake,PARTYNEXTDOOR",0.312,0.466,9,-8.163,0.0509,0.729,0.00000734,0.215,0.195,135.44
Teenage Fever,Drake,0.766,0.283,8,-10.33,0.0846,0.111,0.0172,0.115,0.144,97.04
lullabies,mt. fujitive,0.599,0.102,2,-22.749,0.031,0.973,0.91,0.0688,0.0396,127.152
idfc,blackbear,0.63,0.5,1,-8.755,0.0611,0.611,0.0000404,0.114,0.315,144.871
5:32pm,The Deli,0.691,0.186,10,-13.672,0.0487,0.686,0.934,0.0762,0.548,86.383
Warm Thoughts,Flume,0.533,0.883,5,-6.839,0.13,0.041,0.014,0.0856,0.612,167.95
falling down (feat. shiloh),Nohidea,0.783,0.319,6,-16.088,0.285,0.909,0.157,0.326,0.525,80.102
hate will never win,XXXTENTACION,0.727,0.229,10,-13.864,0.368,0.78,0.00256,0.109,0.585,87.997
don't worry about me,killedmyself,0.533,0.598,5,-9.18,0.0368,0.0217,0.633,0.145,0.287,90.074
Low Key,$uicideboy$,0.551,0.573,5,-4.153,0.372,0.316,0.00000249,0.107,0.209,84.732
Bridges,.Sinh,0.644,0.258,7,-20.552,0.0534,0.589,0.946,0.0807,0.207,166.356
Saved,Khalid,0.739,0.448,10,-10.28,0.138,0.189,0,0.118,0.553,81.044
Coaster,Khalid,0.441,0.219,8,-14.586,0.0419,0.935,0,0.115,0.244,94.021
Fade,Knowmadic,0.524,0.325,11,-12.764,0.267,0.943,0.235,0.0941,0.504,73.828
A.D.H.D,Kendrick Lamar,0.609,0.799,9,-6.883,0.24,0.33,0,0.108,0.582,157.74
03' Adolescence,J. Cole,0.519,0.809,1,-6.362,0.556,0.388,0,0.275,0.262,146.02
From Time,"Drake,Jhené Aiko",0.738,0.491,1,-9.726,0.413,0.626,0,0.126,0.448,94.378
Too Much,"Drake,Sampha",0.637,0.569,6,-5.858,0.55,0.173,0,0.18,0.148,140.269
Daddy Issues,The Neighbourhood,0.588,0.521,10,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012
R.I.P. 2 My Youth,The Neighbourhood,0.353,0.686,7,-5.704,0.0534,0.00216,0,0.123,0.177,94.47
Cry Baby,The Neighbourhood,0.581,0.656,4,-4.891,0.0294,0.00269,0.00000278,0.101,0.338,108.033
Chum,Earl Sweatshirt,0.51,0.503,10,-8.756,0.242,0.0216,0.002,0.108,0.193,153.582
Chanel,Frank Ocean,0.776,0.503,0,-5.732,0.237,0.874,0,0.112,0.473,110.134
the remedy for a broken heart (why am I so in love),XXXTENTACION,0.699,0.304,1,-11.192,0.0993,0.779,0.000993,0.137,0.271,119.705
summer depression,girl in red,0.691,0.306,9,-15.651,0.0544,0.632,0.479,0.108,0.62,129.929
A Song About Being Sad,Rex Orange County,0.567,0.263,5,-13.51,0.103,0.891,0,0.183,0.247,111.86
Call Out My Name,The Weeknd,0.449,0.599,1,-4.892,0.0369,0.211,0,0.327,0.165,134.144
Wasted Times,The Weeknd,0.562,0.674,10,-6.049,0.0851,0.622,0.0000204,0.111,0.293,122.699
Privilege,The Weeknd,0.391,0.595,11,-7.094,0.0411,0.913,0.00557,0.145,0.379,93.78
The Knowing - Original,The Weeknd,0.454,0.668,6,-5.821,0.03,0.205,0.000841,0.0938,0.168,85.994
Real Friends,Kanye West,0.441,0.744,6,-6.248,0.476,0.262,0.000382,0.138,0.124,81.396
Blame Game,"Kanye West,John Legend",0.419,0.581,10,-5.964,0.0688,0.306,0.000063,0.11,0.636,80.305
Runaway,"Kanye West,Pusha T",0.374,0.568,1,-3.825,0.109,0.219,0.00219,0.513,0.111,84.733
Devil In A New Dress,"Kanye West,Rick Ross",0.435,0.76,8,-4.935,0.0721,0.0175,0,0.158,0.206,80.082
Heartless,Kanye West,0.79,0.647,10,-5.983,0.136,0.0515,0,0.248,0.654,87.999
Love Lockdown,Kanye West,0.76,0.524,1,-7.67,0.0323,0.0542,0.5,0.112,0.112,119.603
Say You Will,Kanye West,0.603,0.401,0,-10.155,0.0306,0.542,0.225,0.103,0.347,172.633
Changes,A$AP Rocky,0.478,0.326,3,-10.992,0.0693,0.468,0.000221,0.323,0.338,137.04
Kids Turned Out Fine,A$AP Rocky,0.302,0.669,1,-9.404,0.238,0.275,0.0000358,0.369,0.127,164.8
Purity (feat. Frank Ocean),"A$AP Rocky,Frank Ocean",0.593,0.37,11,-11.674,0.397,0.832,0,0.108,0.312,135.391
Thinkin Bout You,Frank Ocean,0.721,0.339,0,-11.195,0.0532,0.409,0.00153,0.0973,0.2,129.83
Pink Matter,"Frank Ocean,André 3000",0.392,0.233,11,-11.012,0.0587,0.951,0.000322,0.106,0.494,176.569
I. Flight Of The Navigator,Childish Gambino,0.443,0.686,6,-9.744,0.0389,0.0614,0.126,0.118,0.149,79.769
Love Is Only a Feeling,Joey Bada$$,0.629,0.676,1,-7.088,0.191,0.53,0.000325,0.701,0.497,90.377
She,"Tyler, The Creator,Frank Ocean",0.35,0.621,8,-6.495,0.233,0.256,0.0000344,0.613,0.459,83.375
Her,"Tyler, The Creator",0.8,0.368,4,-13.217,0.431,0.00387,0.0000954,0.114,0.496,145.822
One and Only,Cuco,0.614,0.609,10,-6.97,0.0463,0.511,0.000028,0.0825,0.179,98.966
I Fall Apart,Post Malone,0.556,0.538,8,-5.408,0.0382,0.0689,0,0.196,0.291,143.95
Marvins Room,Drake,0.492,0.26,9,-17.341,0.0921,0.646,0.00178,0.0705,0.312,111.519
Doing It Wrong,Drake,0.397,0.172,6,-15.698,0.0445,0.841,0.0000678,0.108,0.123,101.275
The Real Her,"Drake,Lil Wayne,André 3000",0.567,0.309,8,-14.254,0.385,0.166,0,0.12,0.509,65.041
Crew Love,"Drake,The Weeknd",0.418,0.546,0,-9.057,0.238,0.227,0,0.229,0.294,160.152
Club Paradise,Drake,0.338,0.729,6,-6.419,0.102,0.758,0.0000324,0.18,0.543,184.174
FACE,BROCKHAMPTON,0.945,0.702,11,-5.016,0.12,0.591,0.000538,0.0788,0.678,119.887
In My Head,Bedroom,0.577,0.611,9,-13.535,0.0323,0.168,0.92,0.106,0.177,150.91
Heavenly Father,Isaiah Rashad,0.608,0.676,1,-7.56,0.248,0.212,0,0.347,0.57,80.939
beamer boy,"Lil Peep,Nedarb",0.743,0.732,8,-4.511,0.104,0.0509,0.0000177,0.227,0.339,123.994
Somebody Else,The 1975,0.61,0.788,0,-5.724,0.0585,0.195,0.0142,0.153,0.472,101.045
Speed,Kali Uchis,0.583,0.508,9,-6.676,0.0619,0.0776,0,0.245,0.183,169.978
Runnin' Thru The 7th With My Woadies,"$uicideboy$,Pouya",0.526,0.62,8,-7.244,0.281,0.067,0.000241,0.139,0.187,112.027
PRIDE.,Kendrick Lamar,0.665,0.535,4,-7.056,0.0572,0.0786,0.0000168,0.154,0.37,138.842
FEEL.,Kendrick Lamar,0.746,0.798,0,-8.382,0.349,0.137,0,0.139,0.553,109.968
YEAH RIGHT,Joji,0.672,0.588,1,-9.573,0.133,0.619,0.241,0.0992,0.204,169.033
I'LL SEE YOU IN 40,Joji,0.411,0.377,3,-9.553,0.0296,0.347,0.765,0.222,0.0321,139.881
SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,0.0261,0.544,0.00598,0.191,0.284,88.964
CAN'T GET OVER YOU (feat. Clams Casino),"Joji,Clams Casino",0.9,0.316,9,-8.797,0.332,0.684,0.0771,0.0853,0.844,129.914
Will He,Joji,0.618,0.217,10,-15.372,0.0515,0.836,0.000163,0.538,0.0872,116.014
Demons,Joji,0.458,0.378,2,-11.354,0.15,0.416,0.0919,0.0966,0.037,168.232
I Don't Wanna Waste My Time,Joji,0.403,0.234,4,-17.865,0.0531,0.761,0.0618,0.123,0.13,144.226
Stuck with Me,The Neighbourhood,0.538,0.742,9,-6.365,0.0521,0.018,0.014,0.152,0.425,165.951
Compass,The Neighbourhood,0.7,0.82,5,-5.499,0.0329,0.238,0.318,0.658,0.667,109.998
Scary Love,The Neighbourhood,0.595,0.636,5,-5.981,0.0312,0.0000945,0.0529,0.196,0.147,112.008
Baby You're Worth It,Kina,0.695,0.253,2,-15.884,0.0461,0.685,0.14,0.105,0.264,120.033
Home,mt. fujitive,0.663,0.096,1,-11.933,0.0961,0.614,0.948,0.11,0.817,81.981
ball w/o you,21 Savage,0.892,0.633,8,-7.471,0.0902,0.0467,0.000189,0.139,0.459,137.994
On Your Own,Jorja Smith,0.549,0.543,6,-7.485,0.0351,0.0013,0.00945,0.105,0.0791,157.977
Do I Wanna Know?,Arctic Monkeys,0.548,0.532,5,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03
I Wanna Be Yours,Arctic Monkeys,0.464,0.417,0,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528
Why'd You Only Call Me When You're High?,Arctic Monkeys,0.691,0.631,2,-6.478,0.0368,0.0483,0.0000113,0.104,0.8,92.004
ARE WE STILL FRIENDS?,"Tyler, The Creator",0.216,0.497,10,-8.025,0.0371,0.128,0.00000239,0.111,0.313,187.308
EARFQUAKE,"Tyler, The Creator",0.554,0.498,9,-8.866,0.0685,0.23,0.00000598,0.795,0.413,79.635
Be My Mistake,The 1975,0.572,0.155,6,-14.405,0.0344,0.835,0.000137,0.0906,0.0949,109.923
Love It If We Made It,The 1975,0.472,0.745,4,-5.297,0.0356,0.000607,0.0000274,0.0957,0.0631,180.06
It's Not Living (If It's Not With You),The 1975,0.618,0.837,1,-5.338,0.0304,0.000254,0.000378,0.0618,0.526,121.227
Every Single Thing,HOMESHAKE,0.816,0.255,6,-10.016,0.0416,0.774,0.00684,0.114,0.323,89.922
Call Me Up,HOMESHAKE,0.764,0.24,0,-11.229,0.104,0.861,0.00681,0.101,0.524,76.019
Swing Lynn,Harmless,0.462,0.945,2,-1.887,0.0399,0.0536,0.746,0.11,0.477,165.153
Cool Kids,Harmless,0.58,0.959,9,-4.613,0.076,0.583,0.87,0.0985,0.626,150.173
Biscuit Town,King Krule,0.756,0.549,7,-7.823,0.0475,0.705,0.0141,0.26,0.513,106.99
Bubble Gum,Clairo,0.509,0.0167,9,-24.639,0.115,0.979,0.0000272,0.387,0.229,207.97
Magic Spells,Crystal Castles,0.745,0.696,4,-9.906,0.0533,0.846,0.893,0.101,0.33,104.97
Crimewave,Crystal Castles,0.746,0.691,4,-7.533,0.0403,0.184,0.0259,0.205,0.888,119.982
Vanished,Crystal Castles,0.713,0.868,0,-6.644,0.0305,0.00206,0.0000923,0.225,0.641,119.98
Summertime In Paris,"Jaden,WILLOW",0.569,0.86,9,-4.116,0.043,0.135,0,0.153,0.289,90.937
